Run,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,facs_sorting,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,passage,Platform,ReleaseDate,sample_acc,Sample Name,source_name,SRA Study
SRR2977621,RNA-Seq,51,PRJNA305280,SAMN04322136,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467207,not sorted,GSM1964932,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,639,361,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195155,GSM1964932,undifferentiated human embryonic stem cells,SRP067036
SRR2977622,RNA-Seq,51,PRJNA305280,SAMN04322137,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467208,not sorted,GSM1964933,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,622,351,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195154,GSM1964933,undifferentiated human embryonic stem cells,SRP067036
SRR2977623,RNA-Seq,51,PRJNA305280,SAMN04322138,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467209,not sorted,GSM1964934,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,603,340,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195153,GSM1964934,undifferentiated human embryonic stem cells,SRP067036
SRR2977624,RNA-Seq,51,PRJNA305280,SAMN04322139,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467210,not sorted,GSM1964935,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,585,331,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195152,GSM1964935,undifferentiated human embryonic stem cells,SRP067036
SRR2977625,RNA-Seq,51,PRJNA305280,SAMN04322140,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467211,not sorted,GSM1964936,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1519,880,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195151,GSM1964936,undifferentiated human embryonic stem cells,SRP067036
SRR2977626,RNA-Seq,51,PRJNA305280,SAMN04322141,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467212,not sorted,GSM1964937,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1703,984,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195150,GSM1964937,undifferentiated human embryonic stem cells,SRP067036
SRR2977627,RNA-Seq,51,PRJNA305280,SAMN04322142,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467213,not sorted,GSM1964938,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1789,1032,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195148,GSM1964938,undifferentiated human embryonic stem cells,SRP067036
SRR2977628,RNA-Seq,51,PRJNA305280,SAMN04322143,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467214,FACS sorted by CXCR4+,GSM1964939,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1944,1194,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195149,GSM1964939,definitive endoderm cell differentiated from H1,SRP067036
SRR2977629,RNA-Seq,51,PRJNA305280,SAMN04322144,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467215,FACS sorted by CXCR4+,GSM1964941,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1791,1090,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195147,GSM1964941,definitive endoderm cell differentiated from H1,SRP067036
SRR2977630,RNA-Seq,51,PRJNA305280,SAMN04322145,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467216,FACS sorted by CD31+/CD34+,GSM1964943,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1542,947,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195146,GSM1964943,endothelial cells differentiated from H1,SRP067036
SRR2977631,RNA-Seq,51,PRJNA305280,SAMN04322146,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467217,FACS sorted by CD31+/CD34+,GSM1964945,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1598,983,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195145,GSM1964945,endothelial cells differentiated from H1,SRP067036
SRR2977632,RNA-Seq,51,PRJNA305280,SAMN04322147,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467218,FACS sorted by CD31+/CD34+,GSM1964947,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1732,1063,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195144,GSM1964947,endothelial cells differentiated from H1,SRP067036
SRR2977633,RNA-Seq,51,PRJNA305280,SAMN04322148,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467219,not sorted,GSM1964948,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1523,919,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,SRS1195143,GSM1964948,human foreskin fibroblast,SRP067036
SRR2977634,RNA-Seq,51,PRJNA305280,SAMN04322149,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467220,not sorted,GSM1964949,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1583,959,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,SRS1195141,GSM1964949,human foreskin fibroblast,SRP067036
SRR2977635,RNA-Seq,51,PRJNA305280,SAMN04322150,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467221,not sorted,GSM1964950,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1606,968,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,SRS1195142,GSM1964950,human foreskin fibroblast,SRP067036
SRR2977636,RNA-Seq,51,PRJNA305280,SAMN04322151,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467222,FACS sorted by mCherry+,GSM1964951,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1591,985,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195140,GSM1964951,neuronal progenitor cells differentiated from H1,SRP067036
SRR2977637,RNA-Seq,51,PRJNA305280,SAMN04322152,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467223,FACS sorted by mCherry+,GSM1964952,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1818,1122,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195139,GSM1964952,neuronal progenitor cells differentiated from H1,SRP067036
SRR2977638,RNA-Seq,51,PRJNA305280,SAMN04322153,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1467224,FACS sorted by TROP2+,GSM1964953,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,1310,793,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,SRS1195137,GSM1964953,trophoblast-like cells differentiated from H1,SRP067036
